id;active;create_date;updated_date;team_id
1;false;2020-01-07T07:57:52;2020-01-07T04:15:52;1
2;false;2020-01-07T09:30:49;2020-01-07T08:22:08;2
3;true;2020-01-07T12:45:26;2020-01-07T23:20:13;3
4;false;2020-01-07T23:20:15;2020-01-08T00:40:55;4
5;false;2020-01-07T16:03:34;2020-01-07T06:17:36;5
6;false;2020-01-07T12:39:17;2020-01-07T23:39:09;6
7;true;2020-01-07T11:27:37;2020-01-08T02:35:14;7
8;false;2020-01-07T03:48:14;2020-01-07T09:45:13;8
9;true;2020-01-07T04:33:23;2020-01-07T21:59:07;9
10;false;2020-01-07T22:43:03;2020-01-07T03:16:07;10
